phone_number,reports,fraud_tag,risk_score,last_reported
9420125398,16,Job Scam,80,2026-01-12 21:10:37.748212
9471449680,14,Fake UPI Collect,70,2026-02-09 21:10:37.748212
9696721381,17,KYC Fraud,85,2026-01-26 21:10:37.748212
9897299726,5,None,25,2026-01-28 21:10:37.748212
9997945132,6,None,30,2026-01-16 21:10:37.748212
9408811050,7,None,35,2026-02-07 21:10:37.748212
9937721733,7,None,35,2026-01-21 21:10:37.748212
9412411615,6,None,30,2026-01-26 21:10:37.748212
9414395921,14,Impersonation,70,2026-01-12 21:10:37.748212
9596641629,5,None,25,2026-02-04 21:10:37.748212
9139739971,7,None,35,2026-01-31 21:10:37.748212
9128002307,5,None,25,2026-01-24 21:10:37.748212
9126960651,10,KYC Fraud,50,2026-01-22 21:10:37.748212
9237740416,0,None,0,2026-01-26 21:10:37.748212
9861135713,8,Fake UPI Collect,40,2026-01-24 21:10:37.748212
9303293657,7,None,35,2026-02-03 21:10:37.748212
9428816540,4,None,20,2026-01-21 21:10:37.748212
9660025826,7,None,35,2026-01-26 21:10:37.748212
9590472768,18,KYC Fraud,90,2026-01-12 21:10:37.748212
9755969239,18,Fake UPI Collect,90,2026-01-26 21:10:37.748212
9303603743,18,Fake UPI Collect,90,2026-01-20 21:10:37.748212
9321186642,6,None,30,2026-01-27 21:10:37.748212
9791108436,13,Job Scam,65,2026-01-22 21:10:37.748212
9449661494,13,Lottery Scam,65,2026-02-01 21:10:37.748212
9924267326,2,None,10,2026-01-12 21:10:37.748212
9538065734,18,Impersonation,90,2026-02-05 21:10:37.748212
9480896272,15,Lottery Scam,75,2026-01-14 21:10:37.748212
9195273281,5,None,25,2026-01-15 21:10:37.748212
9157449606,16,Loan Scam,80,2026-01-31 21:10:37.748212
9480983322,5,None,25,2026-02-02 21:10:37.748212
9755466502,13,KYC Fraud,65,2026-01-21 21:10:37.748212
9795144365,1,None,5,2026-01-17 21:10:37.748212
9325175086,1,None,5,2026-01-23 21:10:37.748212
9482360871,6,None,30,2026-02-07 21:10:37.748212
9985668463,1,None,5,2026-01-22 21:10:37.748212
9314619632,18,Lottery Scam,90,2026-02-07 21:10:37.748212
9871408373,13,Impersonation,65,2026-02-09 21:10:37.748212
9818933087,19,Impersonation,95,2026-01-19 21:10:37.748212
9528679309,14,Job Scam,70,2026-01-29 21:10:37.748212
9906826253,12,Job Scam,60,2026-02-07 21:10:37.748212
9613170624,9,Loan Scam,45,2026-01-14 21:10:37.748212
9273575476,4,None,20,2026-01-31 21:10:37.748212
9369021142,1,None,5,2026-02-07 21:10:37.748212
9190854962,5,None,25,2026-01-15 21:10:37.748212
9674300391,6,None,30,2026-01-21 21:10:37.748212
9423165731,11,Loan Scam,55,2026-01-14 21:10:37.748212
9725423380,17,KYC Fraud,85,2026-01-12 21:10:37.748212
9431084935,8,Lottery Scam,40,2026-02-04 21:10:37.748212
9592655461,4,None,20,2026-02-09 21:10:37.748212
9794558412,2,None,10,2026-02-03 21:10:37.748212
9804291081,14,Loan Scam,70,2026-01-30 21:10:37.748212
9453356971,9,Impersonation,45,2026-02-06 21:10:37.748212
9441495073,5,None,25,2026-01-27 21:10:37.748212
9529649225,2,None,10,2026-02-01 21:10:37.748212
9104706306,5,None,25,2026-02-07 21:10:37.748212
9242729868,11,Fake UPI Collect,55,2026-01-19 21:10:37.748212
9590264707,13,Impersonation,65,2026-01-15 21:10:37.748212
9867894717,16,Lottery Scam,80,2026-01-30 21:10:37.748212
9665622340,18,Impersonation,90,2026-01-29 21:10:37.748212
9555395745,1,None,5,2026-01-16 21:10:37.748212
9557336643,10,Impersonation,50,2026-02-03 21:10:37.748212
9957907398,10,Lottery Scam,50,2026-01-17 21:10:37.748212
9597802673,8,Impersonation,40,2026-01-14 21:10:37.748212
9324981498,3,None,15,2026-02-04 21:10:37.748212
9662158625,15,KYC Fraud,75,2026-01-22 21:10:37.748212
9847888604,0,None,0,2026-01-12 21:10:37.748212
9729669085,17,Fake UPI Collect,85,2026-01-27 21:10:37.748212
9417896496,3,None,15,2026-01-31 21:10:37.748212
